Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.",Conversion of wetlands for commercial purposes and resource extraction leads to loss of regional climate regulating function.,Conversion of wetlands causes the average temperature to increase by 0.77?C in all four seasons.,Human action,Mid-term,Global - wetlands
Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.",Changes in intensity and extension.,Vegetation alteration can degrade or cause loss of service.,Human action,Short term,Local
Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.","Declines in pollinator populations due to reduced access to food and nesting resources (16.5 % of vertebrate pollinator species are threatened with global extinction; in Europe, 9% of bee and butterfly species are threatened, and populations of 37% of bees and 31% of butterflies are declining)",Decreased pollination services during the peak period of pollination (i.e. spring for most crops in temperate zones). 5-8 % of global crop production would be lost if pollination services ceased.,Human action,Short term - Declines are already occurring at the national level and are having an effect on pollination of crops on an annual basis.,Regional - National and regional data provide evidence of declines in pollinator species.
Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.","Lower species mobility, thus decreased ability to disperse seeds. Altered wind and hydrological processes within a given area will affect how far seeds are dispersed.",Decreased seed dispersal by animals,Human action,"Short-mid-term - Plants produce seeds on a seasonal basis, as such seed dispersal occurs on the same timescale.",Global - Habitat fragmentation is occurring on a global scale. Regional and local - Effects will be more severe in highly fragmented landscapes and will also depend on the adaptability of seed dispersing species.
Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.","Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.",Changes to the way water flows through landscapes,Increased or decreased availability of water at the local and landscape level.,Human action,Short term,Local
Atmosphere,Human movement,R,Transportation emissions are expected to rise globally as a result of increasing demand and access to fuel based transport in developing countries. Greenhouse gases remain the largest and most important driver of global warming and atmospheric change. ,Larger doses of pollutants will reduce the ability of the atmosphere to dilute them to safe levels for humans,Rise in vehicles which are unable to meet modern pollution control requirements. Increase in pollution from motor vehicles.,Human action,Short term,Restricted to developing nations using older car models.
Atmosphere,Industrial or domestic activities,R,"Population pressure is predicted to continue over the next 50 years, driving greater industrialisation, especially within developing countries. Models predict an overall trend of increased compositional change in the atmosphere over the next 100 years in response. The atmosphere is increasingly susceptible to these changes as current deforestation rates reduce natural filtration processes. It is estimated that extreme climate processes, such as the El Nino Southern Oscillation, will increase as a result of associated global warming changing convection currents in both the oceans and the atmosphere. The evolving international and domestic regulations and policies in favour of environmentally friendly technology may however reduce the impact of human activity on the atmosphere.",Elevated release of atmospheric contaminants is required to maximize dilution potential of the atmosphere.,The type of industrial plant influences emission heights - e.g. 1000MW fossil-fuel burning power plants have stacks up to 300 metres in height while nuclear power plants can have roof-level vents.,Human action,Long term,Global
Atmosphere,Industrial or domestic construction,A,"Population pressure is predicted to continue over the next 50 years, driving greater industrialisation and construction, especially within developing countries. Models predict an overall trend of increased compositional change in the atmosphere over the next 100 years in response. Atmosphere is increasingly susceptible to increased construction as associated deforestation can reduce natural filtration processes. It is estimated that extreme climate processes, such as the El Nino Southern Oscillation, will increase as a result of associated global warming changing convection currents in both the oceans and the atmosphere. Evolving international and domestic regulations and policies in favour of environmentally friendly technology means that the relationship between the atmosphere and construction cannot be predicted with a high degree of certainty over an extended period of time and that there is a high degree of variability between prediction models. ",The sealing of soils by urban construction in urban areas modifies the local climate.,"Vegetation no longer regulates climate, leading to even higher temperatures.",Human action,Short-term,Urban areas
Atmosphere,Pollution,R,"Atmospheric measurements have shown steady increases in the amounts of greenhouse gases (GHG), aerosols and particulates over the last 20 years as a result of pollution and are expected to continue, altering atmospheric compositions over the next 100 years. Decreases in vegetation filtering services provided by photosynthesis and dry deposition, as a result of deforestation, has left the atmosphere highly susceptible to further increases. Extensive studies have shown that greenhouse gases contribute to global warming and climate change.","Alters conditions: temperature, humidity, rainfall","Pollution may alter presence and conditions of urban and suburban vegetation, may diminish plants’ capacity of gas
 absorption.",Human action,Short-mid term,Global
