Ecosystem Service,Asset,Importance,Justification
Animal-based energy,Species,R,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Animal-based energy,Species,R,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Bio-remediation,Habitats,A,Bio-remediation by plants is sensitive to changes in habitats as this would affect species distributions and abundance. These changes may however be reversed if the habitat is restored.
Bio-remediation,Habitats,A,Bio-remediation by plants is sensitive to changes in habitats as this would affect species distributions and abundance. These changes may however be reversed if the habitat is restored.
Bio-remediation,Species,R,Bio-remediation by plants is highly sensitive to changes in species composition and their distribution and abundance.
Bio-remediation,Species,A,Bio-remediation by plants is highly sensitive to changes in species composition and their distribution and abundance.
Bio-remediation,Species,A,Bio-remediation by plants is highly sensitive to changes in species composition and their distribution and abundance.
Bio-remediation,Species,A,Bio-remediation by plants is highly sensitive to changes in species composition and their distribution and abundance.
Buffering and attenuation of mass flows,Habitats,R,Habitats are key to the provision of buffering and attenuation of mass flows and habitat loss may cause reduction or cessation of the service.
Buffering and attenuation of mass flows,Habitats,R,Habitats are key to the provision of buffering and attenuation of mass flows and habitat loss may cause reduction or cessation of the service.
Buffering and attenuation of mass flows,Habitats,R,Habitats are key to the provision of buffering and attenuation of mass flows and habitat loss may cause reduction or cessation of the service.
Buffering and attenuation of mass flows,Habitats,R,Habitats are key to the provision of buffering and attenuation of mass flows and habitat loss may cause reduction or cessation of the service.
Buffering and attenuation of mass flows,Habitats,R,Habitats are key to the provision of buffering and attenuation of mass flows and habitat loss may cause reduction or cessation of the service.
Buffering and attenuation of mass flows,Habitats,R,Habitats are key to the provision of buffering and attenuation of mass flows and habitat loss may cause reduction or cessation of the service.
Buffering and attenuation of mass flows,Habitats,R,Habitats are key to the provision of buffering and attenuation of mass flows and habitat loss may cause reduction or cessation of the service.
Buffering and attenuation of mass flows,Land geomorphology,R,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Buffering and attenuation of mass flows,Land geomorphology,R,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Buffering and attenuation of mass flows,Land geomorphology,R,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Buffering and attenuation of mass flows,Land geomorphology,R,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Buffering and attenuation of mass flows,Soils and sediments,A,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil propertied may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Buffering and attenuation of mass flows,Soils and sediments,A,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil propertied may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Buffering and attenuation of mass flows,Soils and sediments,A,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil propertied may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Buffering and attenuation of mass flows,Soils and sediments,A,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil propertied may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Buffering and attenuation of mass flows,Soils and sediments,A,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil propertied may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Buffering and attenuation of mass flows,Soils and sediments,A,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil propertied may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Buffering and attenuation of mass flows,Soils and sediments,A,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil propertied may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Buffering and attenuation of mass flows,Soils and sediments,A,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil propertied may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Climate regulation,Atmosphere,R,Climate regulation at large scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Climate regulation,Atmosphere,R,Climate regulation at large scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Climate regulation,Atmosphere,R,Climate regulation at large scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
