Process,Ecosystem Service,RAG,Justification
Airport services,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Airport services,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Airport services,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Airport services,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Airport services,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Airport services,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Alcoholic fermentation and distilling,Water quality,H,"production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes service this a high risk"
Alcoholic fermentation and distilling,Soil quality,M,"Production process does not rely on the ecosystem service per se, but on other production processes (e.g. agriculture)"
Alcoholic fermentation and distilling,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Alcoholic fermentation and distilling,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Alcoholic fermentation and distilling,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Alcoholic fermentation and distilling,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Alcoholic fermentation and distilling,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Alcoholic fermentation and distilling,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Alcoholic fermentation and distilling,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Alcoholic fermentation and distilling,Genetic materials,H,Ecosystem service is critical and irreplaceable in production process 
Alumina refining,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Alumina refining,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Alumina refining,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Alumina refining,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Alumina refining,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Aquaculture,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Aquaculture,Soil quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Aquaculture,Disease control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Aquaculture,Pest control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Aquaculture,Maintain nursery habitats,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Aquaculture,Ventilation,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Aquaculture,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Aquaculture,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Aquaculture,Buffering and attenuation of mass flows,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Aquaculture,Dilution by atmosphere and ecosystems,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

"
Aquaculture,Bio-remediation,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

"
Aquaculture,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Aquaculture,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Aquaculture,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Aquaculture,Genetic materials,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Aquaculture,Fibres and other materials,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Aquaculture,Water quality,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes service this a high risk
"
Aquaculture,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Aquaculture,Water quality,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes service this a high risk
"
Aquaculture,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Aquaculture,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Biomass energy production,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Biomass energy production,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Biomass energy production,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Biomass energy production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Biomass energy production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Biomass energy production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Biomass energy production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Biomass energy production,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Biomass energy production,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Biomass energy production,Fibres and other materials,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Cable and satellite installations on land,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Cable and satellite installations on land,Soil quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service 
Cable and satellite installations on land,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
"Catalytic cracking, fractional distillation and crystallization",Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Water quality,M,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes service this a high risk"
"Catalytic cracking, fractional distillation and crystallization",Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
"Catalytic cracking, fractional distillation and crystallization",Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Catalytic cracking, fractional distillation and crystallization",Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Catalytic cracking, fractional distillation and crystallization",Dilution by atmosphere and ecosystems,L ,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Catalytic cracking, fractional distillation and crystallization",Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Catalytic cracking, fractional distillation and crystallization",Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Catalytic cracking, fractional distillation and crystallization",Surface water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
"Catalytic cracking, fractional distillation and crystallization",Ground water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Construction,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Construction,Soil quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Construction,Pest control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Construction,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Construction,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Construction,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Construction,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Construction,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Construction,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Construction,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Construction,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Construction,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Construction materials production,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Construction materials production,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Construction materials production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Construction materials production,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Construction materials production,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Cruise line provision,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Cruise line provision,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Cruise line provision,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Cruise line provision,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Cruise line provision,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Cruise line provision,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Cryogenic air separation,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Cryogenic air separation,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Cryogenic air separation,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Cryogenic air separation,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Cryogenic air separation,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Cryogenic air separation,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Cryogenic air separation,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Cryogenic air separation,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Cryogenic air separation,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Cryogenic air separation,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Cryogenic air separation,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Distribution,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Distribution,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Distribution,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Distribution,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Electric/nuclear power transmission and distribution,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Electric/nuclear power transmission and distribution,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Electric/nuclear power transmission and distribution,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Electronics and hardware production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Electronics and hardware production,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Electronics and hardware production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Environmental and facilities services,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Environmental and facilities services,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Environmental and facilities services,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Fibre-optic cable installation (marine),Climate regulation,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Fibre-optic cable installation (marine),Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Fibre-optic cable installation (marine),Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Fibre-optic cable installation (marine),Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Financial services,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Footwear production,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
