Sector,Subindustry,Process
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision
Consumer Discretionary,Homebuilding,Construction
Consumer Discretionary,Distributors,Distribution
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Hotels and resorts provision
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land
Consumer Discretionary,Restaurants,Restaurant provision
Consumer Discretionary,Tires & Rubber,Tyre and rubber production
Consumer Discretionary,Auto Parts & Equipment,"Manufacture of machinery, parts and equipment"
Consumer Discretionary,Automobile Manufacturers,"Manufacture of machinery, parts and equipment"
Consumer Discretionary,Home Furnishings,"Manufacture of machinery, parts and equipment"
Consumer Discretionary,Household Appliances,"Manufacture of machinery, parts and equipment"
Consumer Discretionary,Motorcycle Manufacturers,"Manufacture of machinery, parts and equipment"
Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Natural fibre production
Consumer Discretionary,Textiles,Natural fibre production
Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Jewellery production
Consumer Discretionary,Footwear,Footwear production
Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Synthetic fibre production
Consumer Discretionary,Textiles,Synthetic fibre production
Consumer Discretionary,Casinos & Gaming,Leisure facility provision
Consumer Discretionary,Advertising,Infrastructure holdings
Consumer Discretionary,Apparel Retail,Infrastructure holdings
Consumer Discretionary,Automotive Retail,Infrastructure holdings
Consumer Discretionary,Broadcasting,Infrastructure holdings
Consumer Discretionary,Computer & Electronics Retail,Infrastructure holdings
Consumer Discretionary,Department Stores,Infrastructure holdings
Consumer Discretionary,Education Services,Infrastructure holdings
Consumer Discretionary,General Merchandise Stores,Infrastructure holdings
Consumer Discretionary,Home Improvement Retail,Infrastructure holdings
Consumer Discretionary,Home furnishing Retail,Infrastructure holdings
Consumer Discretionary,Internet & Direct Marketing Retail,Infrastructure holdings
Consumer Discretionary,Movies & Entertainment,Infrastructure holdings
Consumer Discretionary,Publishing,Infrastructure holdings
Consumer Discretionary,Specialty Stores,Infrastructure holdings
Consumer Discretionary,Consumer Electronics,Electronics & hardware production
Consumer Discretionary,Leisure Products,Production of leisure or personal products
Consumer Discretionary,Housewares & Specialties,Houseware and specialities production
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Travel agencies
Consumer Discretionary,Internet & Direct Marketing Retail,Internet marketing retail
Consumer Discretionary,Specialized Consumer Services,Specialised consumer services
Consumer Staples,Agricultural Products,Large-scale irrigated arable crops
Consumer Staples,Agricultural Products,Small-scale livestock (beef and dairy)
Consumer Staples,Agricultural Products,Large-scale rainfed arable crops
Consumer Staples,Agricultural Products,Aquaculture
Consumer Staples,Food Distributors,Distribution
Consumer Staples,Agricultural Products,Large-scale livestock (beef and dairy)
Consumer Staples,Agricultural Products,Freshwater wild-caught fish
Consumer Staples,Agricultural Products,Small-scale irrigated arable crops
Consumer Staples,Agricultural Products,Small-scale rainfed arable crops
Consumer Staples,Brewers,Alcoholic fermentation and distilling
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling
Consumer Staples,Packaged Foods & Meats,Processed food and drink production
Consumer Staples,Soft Drinks,Processed food and drink production
Consumer Staples,Agricultural Products,Saltwater wild-caught fish
Consumer Staples,Tobacco,Tobacco production
Consumer Staples,Drug Retail,Infrastructure holdings
