Sector,Sub-Industry,Production_Process,Assets,Fibres_And_Other_Materials_Dependency_Description,Fibres_And_Other_Materials_Materiality,Fibres_And_Other_Materials_Materiality_Justification,Fibres_And_Other_Materials_Assets,Genetic_Materials_Dependency_Description,Genetic_Materials_Materiality,Genetic_Materials_Materiality_Justification,Genetic_Materials_Assets,Ground_Water_Dependency_Description,Ground_Water_Materiality,Ground_Water_Materiality_Justification,Ground_Water_Assets,Surface_Water_Dependency_Description,Surface_Water_Materiality,Surface_Water_Materiality_Justification,Surface_Water_Assets,Animal_Based_Energy_Dependency_Description,Animal_Based_Energy_Materiality,Animal_Based_Energy_Materiality_Justification,Animal_Based_Energy_Assets,Filtration_Dependency_Description,Filtration_Materiality,Filtration_Materiality_Justification,Filtration_Assets,Bio-Remediation_Dependency_Description,Bio-Remediation_Materiality,Bio-Remediation_Materiality_Justification,Bio-Remediation_Assets,Dilution_By_Atmosphere_And_Ecosystems_Dependency_Description,Dilution_By_Atmosphere_And_Ecosystems_Materiality,Dilution_By_Atmosphere_And_Ecosystems_Materiality_Justification,Dilution_By_Atmosphere_And_Ecosystems_Assets,Mediation_Of_Sensory_Impacts_Dependency_Description,Mediation_Of_Sensory_Impacts_Materiality,Mediation_Of_Sensory_Impacts_Materiality_Justification,Mediation_Of_Sensory_Impacts_Assets,Buffering_And_Mass_Attenuation_Of_Flows_Dependency_Description,Buffering_And_Mass_Attenuation_Of_Flows_Materiality,Buffering_And_Mass_Attenuation_Of_Flows_Materiality_Justification,Buffering_And_Mass_Attenuation_Of_Flows_Assets,Mass_Stabilisation_And_Erosion_Control_Dependency_Description,Mass_Stabilisation_And_Erosion_Control_Materiality,Mass_Stabilisation_And_Erosion_Control_Materiality_Justification,Mass_Stabilisation_And_Erosion_Control_Assets,Water_Flow_Maintenance_Dependency_Description,Water_Flow_Maintenance_Materiality,Water_Flow_Maintenance_Materiality_Justification,Water_Flow_Maintenance_Assets,Flood_And_Storm_Protection_Dependency_Description,Flood_And_Storm_Protection_Materiality,Flood_And_Storm_Protection_Materiality_Justification,Flood_And_Storm_Protection_Assets,Ventilation_Dependency_Description,Ventilation_Materiality,Ventilation_Materiality_Justification,Ventilation_Assets,Pollination_Dependency_Description,Pollination_Materiality,Pollination_Materiality_Justification,Pollination_Assets,Maintain_Nursery_Habitats_Dependency_Description,Maintain_Nursery_Habitats_Materiality,Maintain_Nursery_Habitats_Materiality_Justification,Maintain_Nursery_Habitats_Assets,Pest_Control_Dependency_Description,Pest_Control_Materiality,Pest_Control_Materiality_Justification,Pest_Control_Assets,Disease_Control_Dependency_Description,Disease_Control_Materiality,Disease_Control_Materiality_Justification,Disease_Control_Assets,Soil_Quality_Dependency_Description,Soil_Quality_Materiality,Soil_Quality_Materiality_Justification,Soil_Quality_Assets,Water_Quality_Dependency_Description,Water_Quality_Materiality,Water_Quality_Materiality_Justification,Water_Quality_Assets,Climate_Regulation_Dependency_Description,Climate_Regulation_Materiality,Climate_Regulation_Materiality_Justification,Climate_Regulation_Assets, 
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Travel agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Internet & Direct Marketing Retail,Internet marketing retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Specialized Consumer Services,Specialised consumer services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Distributors,Distribution,Habitats; Soils and sediments; Land geomorphology; Species; Water; Atmosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats; Soils and sediments; Land geomorphology,,,,,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate regulation ensure stable conditions for flight arrivals and departure,High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Habitats; Soils and sediments; Land geomorphology; Species; Water; Atmosphere; Minerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naturally occurring erosion control of soil and ocean sediments to protect infrastructure,Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The soil condition determines the underground fibre installation depth, whether duct should be used, the type of fibre cable should be used and ploughing equipment needed.",Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES ,Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,,,,,Climate regulation reduces negative impacts on cables of soil freezing,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Discretionary,Advertising,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Apparel Retail,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Automotive Retail,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Broadcasting,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Computer & Electronics Retail,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
