Ecosystem service,Description,Benefit,Natural Capital Asset,Importance,Importance justification,Driver of change,Influence,Influence justification,Likely response,Effect on variability of ecosystem service provision,Human action or natural variation,Timescale,Spatial characteristics
Animal-based energy,"Some animals are used in tasks such as ploughing or logging due to their sheer physical strength. Such animals are grouped as a draught or draft animals, for example horses, oxen, elephant and camels. Others may be used as pack animals, for animal-powered transport, the movement of people and goods. People ride some animals directly as mounts; alternatively, one or more animals in harness may be used to pull vehicles. Physical labour is provided by domesticated or commercial species, including oxen, horses, donkeys, goats and elephants. These can be grouped as draught animals, pack animals and mounts. The minimum conditions for maintaining animal-based energy are healthy, well-nourished animal species devoid of disease.",Physical labour,Species,R,"There is a linear relationship between animal-based energy and species because a decrease in the number of animals would result in a decrease in the amount of energy provided by animals. As such, animal-based energy is highly sensitive to changes in animal abundance, however these changes can be reversed if the condition animals are living in are improved, such as disease reduction. Animal-based energy cannot be replaced by anything as only animals can provide this service. There is low uncertainty in the relationship between animal-based energy and species because they are intrinsically linked. ",Diseases,R,"Increased connectivity of global human populations has increased the frequency and magnitude of disease outbreaks. Disease vectors and pathogens can impact all species, and cause dramatic shifts in community structure, biodiversity ecosystem function and services, and human health. However, individual responses to diseases varies by species. Aspects of population biology are heavily researched, however the ecological and evolutionary impact of diseases, especially in marine environments, remain unknown. There is a paucity of baseline and epidemiological information on normal disease levels, which would aid understanding of pathogen transmission and host resistance.","Draught animals are rarely kept in herds, often kept apart from other animals, and are often in remote areas but may travel considerable distances and congregate in local markets. When an animal dies in the middle of a cultivation season it is difficult to borrow or hire another, because animal power is in demand. Ultimately reduced work output can be reflected in reduced farm productivity.","Service provision will decline in infected animals, e.g. cost of working oxen affected by bovine dermatophilosis in Zambia was USD 193 per affected ox.",Natural variation,Short term,Global
Animal-based energy,"Some animals are used in tasks such as ploughing or logging due to their sheer physical strength. Such animals are grouped as a draught or draft animals, for example horses, oxen, elephant and camels. Others may be used as pack animals, for animal-powered transport, the movement of people and goods. People ride some animals directly as mounts; alternatively, one or more animals in harness may be used to pull vehicles. Physical labour is provided by domesticated or commercial species, including oxen, horses, donkeys, goats and elephants. These can be grouped as draught animals, pack animals and mounts. The minimum conditions for maintaining animal-based energy are healthy, well-nourished animal species devoid of disease.",Physical labour,Species,R,"There is a linear relationship between animal-based energy and species because a decrease in the number of animals would result in a decrease in the amount of energy provided by animals. As such, animal-based energy is highly sensitive to changes in animal abundance, however these changes can be reversed if the condition animals are living in are improved, such as disease reduction. Animal-based energy cannot be replaced by anything as only animals can provide this service. There is low uncertainty in the relationship between animal-based energy and species because they are intrinsically linked. ",Droughts,A,"Droughts have been observed to increase in frequency and intensity over the last 60 years and they are expected to increase over the next 100. Species are highly susceptible to droughts as most are dependent on water resources for survival. Negative impacts have been extensively documented in the literature with little variability in results across taxa, but with medium uncertainty. ",Change in service demand based on climate change impacts on water availability.,"The adaptability of the animals to climatic changes will determine the availability of the provision of the service. Animals which adapt faster to climate extremes, e.g. to aridity will maintain provision of the service. are most suited to particular areas. Already drought resistant animals (notably donkeys) are becoming increasingly appreciated in the drought affected areas of southern, eastern and western Africa. Over time though, animals adapt to grazing and consuming different types of grasses and plant species dependent upon on location, climate and availability.",Human action,Long term,Global
Bio-remediation,"Bio-remediation is a natural process whereby living organisms (e.g. plants) degrade, reduce, and/or detoxify waste products (e.g. waste water) and pollutants (e.g. chemicals, oil). Bio-remediation by plants, also referred to as phytoremediation, is defined as the use of plants to decontaminate air, soils and water . A number of approaches to phytoremediation exist, including: Phytoextraction: where plants extract contaminants and accumulate them as harvestable biomass. Phytofiltration: where plants filter contaminants out of systems (e.g. aquatic systems, managed and constructed treatment wetlands). Phytostabilisation: where plants such as mangroves stabilise the environment by reducing or eliminating the mobility of contaminants. Phytovolatilisation: where plants take up contaminants and release them into the atmosphere. Phytodegradation: where plants use their enzymes to break down organic contaminants. Phytodesalination: where plants remove surplus salt from saline soils. Rhizodegradation, or rhizoremediation: where plant roots and their associated microbial communities break down contaminants. Underlying asset components include, Natural physical and chemical properties of plants that enable bio-remediation (e.g. nutrient uptake), and Nurtients. Natural habitats such as forest, shrublands and grasslands support the plants that provide bio-remediation services. The minimum condition for maintaining the service flow is the maintenance of environmental conditions that allows plants to survive and perform their natural bio-remediating functions.  ",Clean water and air,Habitats,A,There is a non-linear relationship between bio-remediation by plants and habitats. Bio-remediation by plants is sensitive to changes in habitats as this would affect species distributions and abundance. These changes may be reversed if the habitat is restored. Habitats are supporting assets for bio-remediation by plants as a service. There is low uncertainty in the relationship between bio-remediation by plants and habitats because they are intrinsically linked.,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats are susceptible to the changes brought by habitat modifaction, however habitats vary in resilience - therefore impacts differ. The direct impacts of disturbance on habitats (e.g. tropical forests) are still uncertain.","Habitat degradation and loss of plant species, thus reducing the number of plants available to perform phyto-remediation.",Decreased ability of plants to perform phyto-remediation.,Human action,"Short term - Habitat degradation can occur over the span of a few days, weeks, and/or months.",Local - This impact will be specific to areas that are most likely to be highly degraded as a result of human activities.
Bio-remediation,"Bio-remediation is a natural process whereby living organisms (e.g. invertebrates, fish and other animals in aquatic habitats, and invertebrates and other animals in soils) degrade, reduce, and/or detoxify waste products (e.g. waste water) and pollutants (e.g. chemicals, oil). There are two ways in which species can benefit bioremediation: (1) they can complement micro-organisms by increasing the overall metabolic activity of the soil; and (2) they can serve as indicators of toxicity levels and contaminants remaining in the soil. The most common groups of species that are used for these purposes are invertebrates (e.g. earthworms, mites). The underlying asset components include invertebrate and fish species that perform bioremediation and serve as indicators of soil and water quality, respectively. Marine and freshwater habitats support fish species, and terrestrial habitats support macro-invertebrates, that provide important bioremediation services. The minimum condition required for bio-remediation to occur is the maintenance of environmental conditions that allow species’ survival.",Clean water and air,Habitats,A,There is a non-linear relationship between bio-remediation by animals and habitats. Bio-remediation by animals may be sensitive to changes in habitats as this would affect species distributions and abundance. These changes may be reversed if the habitat is restored. Habitats are a supporting asset for bio-remediation by animals as a service. There is some uncertainty in the relationship between Bio-remediation by animals and habitats as some studies have noted that animals (mainly earthworms) have no beneficial effect.,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant. The direct impacts of pollution on habitats are still uncertain.",Habitat degradation and lower species survival (or local extinctions) and reduction or interruption of bio-remediation.,Decreased ability of species to perform bio-remediation.,Human action,"Short term - Habitat degradation can occur over the span of a few days, weeks, and/or months. Mid-long term - Loss of environmental function occurs on a longer timescale.",Local - This impact is specific to areas that are highly degraded or polluted.
Bio-remediation,"Bio-remediation is a natural process whereby living organisms (e.g. plants) degrade, reduce, and/or detoxify waste products (e.g. waste water) and pollutants (e.g. chemicals, oil). Bio-remediation by plants, also referred to as phytoremediation, is defined as the use of plants to decontaminate air, soils and water . A number of approaches to phytoremediation exist, including: Phytoextraction: where plants extract contaminants and accumulate them as harvestable biomass. Phytofiltration: where plants filter contaminants out of systems (e.g. aquatic systems, managed and constructed treatment wetlands). Phytostabilisation: where plants such as mangroves stabilise the environment by reducing or eliminating the mobility of contaminants. Phytovolatilisation: where plants take up contaminants and release them into the atmosphere. Phytodegradation: where plants use their enzymes to break down organic contaminants. Phytodesalination: where plants remove surplus salt from saline soils. Rhizodegradation, or rhizoremediation: where plant roots and their associated microbial communities break down contaminants. Underlying asset components include, Natural physical and chemical properties of plants that enable bio-remediation (e.g. nutrient uptake), and Nurtients. Natural habitats such as forest, shrublands and grasslands support the plants that provide bio-remediation services. The minimum condition for maintaining the service flow is the maintenance of environmental conditions that allows plants to survive and perform their natural bio-remediating functions.  ",Clean water and air,Species,R,"There is a linear relationship between bio-remediation by plants and species as they are directly linked. Bio-remediation by plants is highly sensitive to changes in species composition and their distribution and abundance, however these changes may be reversed if the species populations are restored. Species are not substitutable for bio-remediation by plants as a service because only species can provide this service. There is low uncertainty in the relationship between bio-remediation by plants and species because they are intrinsically linked.",Habitat modification,R,"Species distributions, abundance and dynamics are expected to worsen in the long term.The distribution and abundance of a species are governed by the birth, growth, death and dispersal rates of individuals comprising a population. These rates are also affected by land use.  Habitat modification often leads to fragmentation - where there is a loss of habitat, reduced patch size and an increasing distance between patches - but can also lead to an increase of new habitat. Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events - as such they are highly susceptible to impacts. Each system varies by location, and individual species vary greatly in their response to habitat modification. There is a lot of published material on the effect of habitat modification on species, however there are still knowledge gaps.","Habitat degradation and loss of plant species, thus reducing the number of plants available to perform phyto-remediation.",Decreased ability of plants to perform phyto-remediation.,Human action,"Short term - Habitat degradation can occur over the span of a few days, weeks, and/or months.",Local - This impact will be specific to areas that are most likely to be highly degraded as a result of human activities.
Bio-remediation,"Algae refers to a group of mostly aquatic photosynthesising organisms that are known for their ability to produce oxygen. Species of algae vary in size from microscopic single-celled algae to species of kelp that can reach 60 metres (197 feet) in length. Bio-remediation by algae is a natural process whereby algal cells, both dead and living, degrade, reduce, capture, and/or detoxify waste products (e.g. waste water) and pollutants (e.g. heavy metals, chemicals, oil). Algae use solar energy to grow and accumulate biomass from various elements such as nutrients (e.g. nitrogen, phosphorous), proteins, carbohydrates, lipids, and carbon dioxide (CO2), which are available in their immediate surroundings, and they produce oxygen as a by-product. The underlying asset components include aquatic habitats and environments (e.g. ponds, tanks) that provide a living environment for algae. Solar energy, which allows algae to grow and Natural chemical processes, including: ion exchange (the most important process in bioremediation of heavy metals), electrostatic interactions, and complex formation. The minimum condition for maintaining the service flow is the survival of algal species.",Clean water and air,Species,A,"There is a linear relationship between bio-remediation by algae and species as they are directly linked. Bio-remediation by naturally occurring algae may be sensitive to changes in species, however algae are also intentionally added to waste material. Changes to species can be reversed but it may take a long time. Species are not substitutable for bio-remediation by algae as a service because only species can provide this service. There is low uncertainty in the relationship between bio-remediation by algae and species because they are intrinsically linked.",Invasive species,A,"Invasive species alter ecosystems - they outcompete indigenous species, which can have cascading effects across trophic levels, and in turn restructure communities and cause evolutionary changes. Invasive species can also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release. These interactions can occur in a wide range of habitats, and different species have variability in their effect. The effects of invasive species are often difficult to detect or occur after long time lags - as such there is uncertainty in their impact. ",Increased populations of sea urchins lead to overgrazing of kelp.,Decreased bioremediation by kelp.,Human action,"Mid-long term – Trophic interactions change according to the rate of the reduction in predator populations, the subsequent effects can materialise within a few years",Global – Invasive species are widespread across the globe and are affecting species across a significant portion of their ranges
Bio-remediation,"Bio-remediation is a natural process whereby living organisms (e.g. invertebrates, fish and other animals in aquatic habitats, and invertebrates and other animals in soils) degrade, reduce, and/or detoxify waste products (e.g. waste water) and pollutants (e.g. chemicals, oil). There are two ways in which species can benefit bioremediation: (1) they can complement micro-organisms by increasing the overall metabolic activity of the soil; and (2) they can serve as indicators of toxicity levels and contaminants remaining in the soil. The most common groups of species that are used for these purposes are invertebrates (e.g. earthworms, mites). The underlying asset components include invertebrate and fish species that perform bioremediation and serve as indicators of soil and water quality, respectively. Marine and freshwater habitats support fish species, and terrestrial habitats support macro-invertebrates, that provide important bioremediation services. The minimum condition required for bio-remediation to occur is the maintenance of environmental conditions that allow species’ survival.",Clean water and air,Species,A,"There is a linear relationship between bio-remediation by animals and species as they are directly linked. Bio-remediation by animals is highly sensitive to changes in species composition and their distribution and abundance, however these changes may be reversed if the species populations are restored. Species are not substitutable for bio-remediation by animals as a service because only species can provide this service. There is some uncertainty in the relationship between bio-remediation by animals and species as some studies have noted that animals (mainly earthworms) have no beneficial effect.",Pollution,A,"Species distributions, abundance and dynamics are expected to worsen in the long term. Atmospheric deposition of reactive nitrogen has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters, and there is medium uncertainty in this relationship.",Habitat degradation and lower species survival (or local extinctions) and reduction or interruption of bio-remediation.,Decreased ability of species to perform bio-remediation.,Human action,"Short term - Habitat degradation can occur over the span of a few days, weeks, and/or months. Mid-long term - Loss of environmental function occurs on a longer timescale.",Local - This impact is specific to areas that are highly degraded or polluted.
Bio-remediation,"Algae refers to a group of mostly aquatic photosynthesising organisms that are known for their ability to produce oxygen. Species of algae vary in size from microscopic single-celled algae to species of kelp that can reach 60 metres (197 feet) in length. Bio-remediation by algae is a natural process whereby algal cells, both dead and living, degrade, reduce, capture, and/or detoxify waste products (e.g. waste water) and pollutants (e.g. heavy metals, chemicals, oil). Algae use solar energy to grow and accumulate biomass from various elements such as nutrients (e.g. nitrogen, phosphorous), proteins, carbohydrates, lipids, and carbon dioxide (CO2), which are available in their immediate surroundings, and they produce oxygen as a by-product. The underlying asset components include aquatic habitats and environments (e.g. ponds, tanks) that provide a living environment for algae. Solar energy, which allows algae to grow and Natural chemical processes, including: ion exchange (the most important process in bioremediation of heavy metals), electrostatic interactions, and complex formation. The minimum condition for maintaining the service flow is the survival of algal species.",Clean water and air,Species,A,"There is a linear relationship between bio-remediation by algae and species as they are directly linked. Bio-remediation by naturally occurring algae may be sensitive to changes in species, however algae are also intentionally added to waste material. Changes to species can be reversed but it may take a long time. Species are not substitutable for bio-remediation by algae as a service because only species can provide this service. There is low uncertainty in the relationship between bio-remediation by algae and species because they are intrinsically linked.",Weather conditions,A,"Increased temperatures have led to alterations in species compositions, whilst extreme weather events have resulted in the increased morphology of biogenic habitats, altering resource use and inducing ecological niche displacement, negatively affecting species. This trend is expected to continue with expected increases in temperatures over the next 100 years. There is a high level of variability of response and susceptibility between taxonomic groups, and medium uncertainty, however, the disruptions caused by these processes are widely associated with negative impacts in the literature. ","Increased or decreased availability of solar energy for algae, which affects how well species are able to grow, survive, and perform their bio-remediation function.",Increased or decreased bio-remediation performed by algae. This variation occurs on seasonal or annual basis (e.g. solar radiance is lower in winter or when cloud cover is dense).,Natural variation,Short term - Seasonal or annual variation in the amount of solar energy received on Earth and/or daily or seasonal variation in cloud cover.,Global - Weather conditions vary on a global scale. Regional - E.g. the tropics have very different weather patterns from temperate regions. Local - E.g. variation in the exact amount of solar energy received at the level of a specific pond.
Buffering and attenuation of mass flows,"Buffering and attenuation of mass flows is delivered through vegetated habitats, and soils and sediments. Underlying asset components include, Vegetated buffer strips along lakes and streams protect and improve water quality by filtering sediments, stabilizing stream banks and shorelines and preventing erosion. Vegetation, ideally forests, in upper catchments helps stop mass flow and erosion. Trees and woody decries on floodplains increases hydraulic roughness, slowing down flood flows and enhancing flood storage. Vegetation (forests) can affect the likelihood of an avalanche release and can protect human settlements and infrastructure . Plant root systems along bodies of water provide slope stability and soil erosion control. Plants shelter and fix soil with their roots, protecting soil against erosion by reducing water runoff. In coastal systems, mangrove forests protect coastlines from erosion; these dense forests reduce the impact of waves and prevent erosion by increasing friction and reducing storm surge peak water levels. Tidal and wave energy are dissipated to lower levels, protecting the shoreline and allowing salt marshes and reeds to grow which in turn reduces erosion. Run-off systems manage runoff concentrations to prevent saturation of soil resulting in erosion or landslides. Top soil cover provided by plants and other organisms. Several species of soil algae form a layer over land, as a form of surface cover, which reduces soil losses in comparison with the losses from bare lands. Soil properties such as salinity, texture, aggregations, strength, content, and infiltration capacities determine effects of root systems properties, resistance to raindrop impact, and resistance to soil break up and gully formation, among others. The minimum conditions for maintaining the service flow are strong vegetated buffering strips along water ways, and well-structured soils and sediments.","Reduction of damages, avoided costs, and avoided sediment pollution.",Habitats,R,"There is a linear relationship between habitats and the service of buffering and attenuation of mass flows, as it is directly provided by this asset. The service is sensitive to changes in habitats and their vegetation, it may cause loss of other assets and result in reduction or cessation of the service. If the natural conditions are restored, the impact of changes of the asset on the service may be reversed, however, it might be time sensitive. Habitats are not substitutable for any other asset of this service, since they work as a system and not independently. There is low uncertainty in the relationship between habitats and the buffering and attenuation of mass flows.",Droughts,R,"Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats. Biogenic habitats are highly susceptible, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. This data has been extensively modelled and assessed against historical records, consistently highlighting the negative response of habitats to drought. ",Damage protective vegetation.,Poor vegetation cover. Damage protective vegetation.,Human action,Short term,Local
Buffering and attenuation of mass flows,"Buffering and attenuation of mass flows is delivered through vegetated habitats, and soils and sediments. Underlying asset components include, Vegetated buffer strips along lakes and streams protect and improve water quality by filtering sediments, stabilizing stream banks and shorelines and preventing erosion. Vegetation, ideally forests, in upper catchments helps stop mass flow and erosion. Trees and woody decries on floodplains increases hydraulic roughness, slowing down flood flows and enhancing flood storage. Vegetation (forests) can affect the likelihood of an avalanche release and can protect human settlements and infrastructure . Plant root systems along bodies of water provide slope stability and soil erosion control. Plants shelter and fix soil with their roots, protecting soil against erosion by reducing water runoff. In coastal systems, mangrove forests protect coastlines from erosion; these dense forests reduce the impact of waves and prevent erosion by increasing friction and reducing storm surge peak water levels. Tidal and wave energy are dissipated to lower levels, protecting the shoreline and allowing salt marshes and reeds to grow which in turn reduces erosion. Run-off systems manage runoff concentrations to prevent saturation of soil resulting in erosion or landslides. Top soil cover provided by plants and other organisms. Several species of soil algae form a layer over land, as a form of surface cover, which reduces soil losses in comparison with the losses from bare lands. Soil properties such as salinity, texture, aggregations, strength, content, and infiltration capacities determine effects of root systems properties, resistance to raindrop impact, and resistance to soil break up and gully formation, among others. The minimum conditions for maintaining the service flow are strong vegetated buffering strips along water ways, and well-structured soils and sediments.","Reduction of damages, avoided costs, and avoided sediment pollution.",Habitats,R,"There is a linear relationship between habitats and the service of buffering and attenuation of mass flows, as it is directly provided by this asset. The service is sensitive to changes in habitats and their vegetation, it may cause loss of other assets and result in reduction or cessation of the service. If the natural conditions are restored, the impact of changes of the asset on the service may be reversed, however, it might be time sensitive. Habitats are not substitutable for any other asset of this service, since they work as a system and not independently. There is low uncertainty in the relationship between habitats and the buffering and attenuation of mass flows.",Flooding,R,"Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats. Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Due to the unpredictable nature of climate shocks and the variation in the intensity and duration of floods, habitat response is very variable and difficult to predict with certainty.",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural,Short term,Universal
